index,word,meaning
1,help,助ける
2,try,試す
3,hold,持つ
4,grow,成長する
5,let,〜させる
6,seem,〜のように見える
7,enjoy,楽しむ
8,create,作り出す
9,choose,選ぶ
10,spend,費やす
11,appear,現れる
12,lie,横になる
13,lie,横になる
14,arrive,到着する
15,discover,発見する
16,act,行動する
17,rise,上がる
18,forget,忘れる
19,hang,掛ける
20,wish,願う
21,born,生まれる
22,win,勝つ
23,fight,戦う
24,pick,選ぶ
25,dress,服を着る
26,communication,通信・会話
27,drop,落とす
28,throw,投げる
29,promise,約束する
30,separate,分ける
31,pull,引く
32,push,押す
33,hunt,狩る
34,hide,隠す
35,lay,横たえる
36,join,参加する
37,climb,登る
38,relax,くつろぐ
39,invite,招待する
40,ring,鳴る／指輪
41,collect,集める
42,gather,集まる
43,wake,目を覚ます
44,link,つなぐ
45,repeat,繰り返す
46,mix,混ぜる
47,recycle,再利用する
48,roll,転がる
49,request,依頼する
50,lift,持ち上げる
51,blow,吹く
52,dislike,嫌う
53,sail,航海する
54,limit,制限する
55,comment,コメントする
56,introduce,紹介する
57,bark,吠える
58,dig,掘る
59,wrap,包む
60,shine,輝く
61,shut,閉める
62,enter,入る
63,knock,ノックする
64,lend,貸す
65,mark,印をつける
66,pass,通る
67,shout,叫ぶ
68,imagine,想像する
69,hope,望む
70,plan,計画する
71,plant,植える
72,record,記録する
73,report,報告する
74,shock,衝撃を与える
75,steal,盗む
76,bite,噛む
77,begin,始める
78,disagree,同意しない
79,boil,沸騰する
80,fry,揚げる
81,place,場所／置く
82,job,仕事
83,fact,事実
84,light,光／軽い／灯す
85,culture,文化
86,century,世紀
87,age,年齢
88,information,情報
89,living,生活
90,land,土地
91,history,歴史
92,past,過去
93,future,未来
94,health,健康
95,space,空間・宇宙
96,side,側
97,law,法律
98,dream,夢
99,ceremony,式典
100,moment,瞬間
101,price,価格
102,forest,森
103,weather,天気
104,conversation,会話
105,fear,恐怖
106,ability,能力
107,accident,事故
108,community,地域社会
109,average,平均
110,success,成功
111,human being,人間
112,opinion,意見
113,memory,記憶
114,bit,少し
115,contact,連絡
116,blood,血
117,belief,信念
118,doubt,疑い
119,date,日付
120,technology,技術
121,meal,食事
122,sale,販売
123,fun,楽しみ
124,tourist,観光客
125,goal,目標
126,none,何も〜ない
127,noise,騒音
128,flight,飛行
129,mail,郵便
130,gas,ガス
131,damage,損害
132,sheet,シート／用紙
133,farm,農場
134,drug,薬
135,post,ポスト／投函する
136,smell,におい
137,nurse,看護師
138,guest,客
139,guide,案内人
140,flow,流れ
141,hurry,急ぐこと
142,scale,規模／はかり
143,interview,面接
144,joke,冗談
145,series,連続／シリーズ
146,error,誤り
147,spot,場所
148,blank,空白
149,actor,俳優
150,mathematics,数学
151,homework,宿題
152,bath,入浴
153,block,ブロック／かたまり
154,soldier,兵士
155,journey,旅
156,host,主催者／主人
157,route,経路
158,plate,皿
159,humor,ユーモア
160,grass,草
161,cash,現金
162,coast,海岸
163,salary,給料
164,hero,英雄
165,gap,すき間／隔たり
166,guard,守衛
167,ease,気楽さ
168,army,軍隊
169,battle,戦い
170,pupil,生徒
171,paragraph,段落
172,mystery,謎
173,coal,石炭
174,bike,自転車
175,fool,ばか者
176,sake,〜のため
177,guy,やつ／男
178,license,免許
179,situation,状況
180,label,ラベル／表示
181,aid,援助
182,clothes,衣服
183,shadow,影
184,refrigerator,冷蔵庫
185,bottom,底
186,loan,貸付／ローン
187,knee,ひざ
188,square,正方形／広場
189,stairs,階段
190,headache,頭痛
191,setting,設定
192,cave,洞窟
193,root,根
194,joy,喜び
195,shore,岸
196,midnight,真夜中
197,poet,詩人
198,journal,日誌／雑誌
199,prize,賞
200,tool,道具
201,topic,話題
202,wave,波
203,area,地域
204,control,制御／管理
205,harmony,調和
206,balance,バランス／均衡
207,heat,熱
208,experience,経験
209,officer,役人／警官
210,traffic,交通
211,neighbor,隣人
212,grade,成績
213,anybody,誰でも
214,anything,何でも
215,attendant,係員
216,cage,おり
217,cell phone,携帯電話
218,chopstick,箸
219,customer,顧客
220,dictionary,辞書
221,engineer,技術者
222,fog,霧
223,freedom,自由
224,package,小包
225,husband,夫
226,kindergarten,幼稚園
227,luck,運
228,temple,寺
229,movement,動き／運動
230,piece,一片／一部
231,sightseeing,観光
232,trouble,困難／悩み
233,different,異なる
234,sure,確信して
235,difficult,難しい
236,least,最も少ない
237,global,地球規模の
238,several,いくつかの
239,foreign,外国の
240,whole,全体の
241,alone,一人で
242,necessary,必要な
243,main,主要な
244,famous,有名な
245,afraid,怖がって
246,equal,等しい
247,deep,深い
248,busy,忙しい
249,TRUE,真実の
250,heavy,重い
251,dangerous,危険な
252,wide,広い
253,exciting,わくわくする
254,impossible,不可能な
255,daily,毎日の
256,surprised,驚いた
257,public,公共の
258,tired,疲れた
259,angry,怒っている
260,wild,野生の／乱暴な
261,dark,暗い
262,dead,死んでいる
263,careful,注意深い
264,ordinary,普通の
265,cheap,安い
266,central,中央の
267,friendly,親しみやすい
268,unique,独特の
269,glad,嬉しい
270,another,別の
271,bright,明るい
272,regular,規則的な／通常の
273,poor,貧しい／下手な
274,constant,絶え間ない
275,commercial,商業の
276,local,地元の
277,fair,公正な
278,honest,正直な
279,proud,誇りに思う
280,asleep,眠っている
281,loud,うるさい／大きな音の
282,chief,主要な／長
283,overseas,海外の
284,clever,賢い
285,upper,上部の
286,dirty,汚れた
287,smart,賢い／かっこいい
288,royal,王室の
289,crazy,狂った／夢中な
290,absent,不在の
291,gentle,優しい
292,delicious,おいしい
293,thin,薄い／細い
294,elegant,優雅な
295,smooth,滑らかな
296,lonely,寂しい
297,clear,明確な
298,personal,個人的な
299,lovely,愛らしい
300,blind,目の見えない
301,active,活動的な
302,intelligent,知的な
303,round,丸い
304,broad,広い
305,outside,外で／外側の
306,actually,実際に
307,rather,むしろ
308,almost,ほとんど
309,quite,かなり
310,yet,まだ／それでも
311,perhaps,たぶん
312,especially,特に
313,simply,単に
314,instead,その代わりに
315,either,どちらか
316,finally,ついに
317,indeed,確かに
318,else,他に
319,neither,どちらも〜ない
320,forward,前方へ
321,highly,非常に
322,abroad,海外で
323,straight,まっすぐに
324,ahead,前方に
325,apart,離れて
326,naturally,自然に
327,unfortunately,残念ながら
328,fairly,かなり
329,badly,ひどく／下手に
330,forth,前へ
331,downtown,繁華街で
332,later,後で
333,upstairs,階上に
334,already,すでに
335,far,遠くに
336,anyway,とにかく
337,anytime,いつでも
338,anywhere,どこでも
339,also,〜もまた
340,left,左へ
341,both,両方
342,ever,今までに
343,everywhere,どこでも
344,halfway,途中で
345,toward,〜の方へ
346,without,〜なしで
347,during,〜の間に
348,while,〜している間に
349,though,〜だけれども
350,although,〜ではあるが
