index,word,meaning
1,fury,激怒
2,rage,怒り
3,physiological,生理的な
4,hormone,ホルモン
5,superficial,表面的な
6,traumatic,トラウマとなる
7,aggressively,攻撃的に
8,intimidate,怖がらせる
9,menace,脅威
10,brutal,残忍な
11,savage,野蛮な
12,ferocious,獰猛な
13,defendant,被告人
14,testimony,証言
15,distinctly,はっきりと
16,plainly,明白に
17,gorgeous,豪華な
18,magnificent,壮大な
19,anonymous,匿名の
20,pigment,色素
21,stain,染み
22,translucent,半透明の
23,transparent,透明な
24,discern,見分ける
25,conceivable,考えられる
26,contemplate,熟考する
27,meditate,瞑想する
28,ponder,じっくり考える
29,ultraviolet,紫外線の
30,flutter,はためく
31,blink,まばたきする
32,glitter,きらきら光る
33,quake,揺れる
34,shudder,震える
35,quiver,震える
36,shiver,震える
37,tremble,震える
38,sway,揺れる
39,endeavor,努力する
40,cue,合図
41,glue,接着剤
42,attachment,愛着、添付ファイル
43,adhere,固着する
44,fasten,留める
45,undo,元に戻す
46,cling,しがみつく
47,scant,乏しい
48,diffuse,拡散する
49,disperse,分散する
50,filter,ろ過する
51,corrective,矯正的な
52,notify,通知する
53,enlighten,啓発する
54,acquaint,知らせる
55,affectionate,愛情深い
56,collectively,集団で
57,afflict,(あとで追加する)
58,curse,(あとで追加する)
59,syndrome,(あとで追加する)
60,agony,(あとで追加する)
61,grieve,(あとで追加する)
62,anguish,(あとで追加する)
63,unease,(あとで追加する)
64,apprehension,(あとで追加する)
65,breakdown,(あとで追加する)
66,foresee,(あとで追加する)
67,foretell,(あとで追加する)
68,prophecy,(あとで追加する)
69,actively,(あとで追加する)
70,brisk,(あとで追加する)
71,dynamic,(あとで追加する)
72,static,(あとで追加する)
73,desolate,(あとで追加する)
74,barren,(あとで追加する)
75,devoid,(あとで追加する)
76,vacant,(あとで追加する)
77,bald,(あとで追加する)
78,depressing,(あとで追加する)
79,gloomy,(あとで追加する)
80,melancholy,(あとで追加する)
81,deprivation,(あとで追加する)
82,agitation,(あとで追加する)
83,infectious,(あとで追加する)
84,germ,(あとで追加する)
85,moderate,(あとで追加する)
86,temperate,(あとで追加する)
87,drastic,(あとで追加する)
88,radically,(あとで追加する)
89,thorough,(あとで追加する)
90,enthusiastically,(あとで追加する)
91,ardently,(あとで追加する)
92,diligent,(あとで追加する)
93,earnest,(あとで追加する)
94,sober,(あとで追加する)
95,solemn,(あとで追加する)
96,formerly,(あとで追加する)
97,mold (mould),(あとで追加する)
98,costly,(あとで追加する)
99,luxurious,(あとで追加する)
100,offset,(あとで追加する)
101,combat,(あとで追加する)
102,warfare,(あとで追加する)
103,warrior,(あとで追加する)
104,harass,(あとで追加する)
105,cease,(あとで追加する)
106,commence,(あとで追加する)
107,embark,(あとで追加する)
108,threshold,(あとで追加する)
109,ceaseless,(あとで追加する)
110,persevere,(あとで追加する)
111,stubborn,(あとで追加する)
112,insistent,(あとで追加する)
113,thrive,(あとで追加する)
114,prosper,(あとで追加する)
115,bloom,(あとで追加する)
116,deteriorate,(あとで追加する)
117,degrade,(あとで追加する)
118,humiliate,(あとで追加する)
119,impair,(あとで追加する)
120,bankrupt,(あとで追加する)
121,restrain,(あとで追加する)
122,choke,(あとで追加する)
123,recovery,(あとで追加する)
124,revive,(あとで追加する)
125,retrieve,(あとで追加する)
126,regain,(あとで追加する)
127,fetch,(あとで追加する)
128,undoubtedly,(あとで追加する)
129,dubious,(あとで追加する)
130,impotence,(あとで追加する)
131,helpless,(あとで追加する)
132,divine,(あとで追加する)
133,pious,(あとで追加する)
134,quest,(あとで追加する)
135,rip,(あとで追加する)
136,humankind,(あとで追加する)
137,database,(あとで追加する)
138,software,(あとで追加する)
139,resentful,(あとで追加する)
140,tribal,(あとで追加する)
141,impartial,(あとで追加する)
142,neutral,(あとで追加する)
143,defect,(あとで追加する)
144,flaw,(あとで追加する)
145,inferiority,(あとで追加する)
146,blindness,(あとで追加する)
147,domain,(あとで追加する)
148,reign,(あとで追加する)
149,sovereign,(あとで追加する)
150,autonomy,(あとで追加する)
151,pervade,(あとで追加する)
152,commonplace,(あとで追加する)
153,ubiquitous,(あとで追加する)
154,criterion (pl.criteria),(あとで追加する)
155,paradigm,(あとで追加する)
156,gauge,(あとで追加する)
157,thereby,(あとで追加する)
158,nondiscriminatory,(あとで追加する)
159,utmost,(あとで追加する)
160,sue,(あとで追加する)
161,advocate,(あとで追加する)
162,bet,(あとで追加する)
163,plead,(あとで追加する)
164,applaud,(あとで追加する)
165,clap,(あとで追加する)
166,slap,(あとで追加する)
167,tolerate,(あとで追加する)
168,conserve,(あとで追加する)
169,tuition,(あとで追加する)
170,unanimous,(あとで追加する)
171,dictum,(あとで追加する)
172,perpetuate,(あとで追加する)
173,inequality,(あとで追加する)
174,affirm,(あとで追加する)
175,concede,(あとで追加する)
176,proclaim,(あとで追加する)
177,bestow,(あとで追加する)
178,endow,(あとで追加する)
179,tender,(あとで追加する)
180,multicultural,(あとで追加する)
181,posture,(あとで追加する)
182,standpoint,(あとで追加する)
183,viewpoint,(あとで追加する)
184,verdict,(あとで追加する)
185,diplomatic,(あとで追加する)
186,diploma,(あとで追加する)
187,ambassador,(あとで追加する)
188,embassy,(あとで追加する)
189,cunning,(あとで追加する)
190,shrewd,(あとで追加する)
191,nectar,(あとで追加する)
192,colonial,(あとで追加する)
193,akin,(あとで追加する)
194,depict,(あとで追加する)
195,cognition,(あとで追加する)
196,distortion,(あとで追加する)
197,hypothetical,(あとで追加する)
198,thesis,(あとで追加する)
199,illumination,(あとで追加する)
200,personnel,(あとで追加する)
201,inspect,(あとで追加する)
202,relay,(あとで追加する)
203,coil,(あとで追加する)
204,merge,(あとで追加する)
205,blend,(あとで追加する)
206,mingle,(あとで追加する)
207,formula (pl. -s,(あとで追加する)
208,-e),(あとで追加する)
209,sorrowful,(あとで追加する)
210,mourn,(あとで追加する)
211,lament,(あとで追加する)
212,deplore,(あとで追加する)
213,widow,(あとで追加する)
214,pill,(あとで追加する)
215,prudent,(あとで追加する)
216,cautious,(あとで追加する)
217,thrifty,(あとで追加する)
218,stingy,(あとで追加する)
219,frugal,(あとで追加する)
220,greedy,(あとで追加する)
221,jealous,(あとで追加する)
222,envious,(あとで追加する)
223,prescription,(あとで追加する)
224,script,(あとで追加する)
225,remedy,(あとで追加する)
226,medication,(あとで追加する)
227,daylight,(あとで追加する)
228,tranquilizer,(あとで追加する)
229,serene,(あとで追加する)
230,inattentive,(あとで追加する)
231,overconfident,(あとで追加する)
232,confide,(あとで追加する)
233,vain,(あとで追加する)
234,arrogant,(あとで追加する)
235,humility,(あとで追加する)
236,humble,(あとで追加する)
237,ego,(あとで追加する)
238,reckless,(あとで追加する)
239,disregard,(あとで追加する)
240,dizzy,(あとで追加する)
241,bureaucrat,(あとで追加する)
242,slump,(あとで追加する)
243,grip,(あとで追加する)
244,clutch,(あとで追加する)
245,comprehension,(あとで追加する)
246,steer,(あとで追加する)
247,pharmacist,(あとで追加する)
248,hazard,(あとで追加する)
249,disastrous,(あとで追加する)
250,catastrophic,(あとで追加する)
251,devastating,(あとで追加する)
252,dreadful,(あとで追加する)
253,fright,(あとで追加する)
254,calamity,(あとで追加する)
255,casualty,(あとで追加する)
256,doom,(あとで追加する)
257,hardship,(あとで追加する)
258,nightmare,(あとで追加する)
259,alarmingly,(あとで追加する)
260,horrify,(あとで追加する)
261,dismay,(あとで追加する)
262,slaughter,(あとで追加する)
263,manifestation,(あとで追加する)
264,variability,(あとで追加する)
265,abhor,(あとで追加する)
